Package,nUsing,ERROR,FAIL,NOTE,OK,WARN,has_problem,modeled_problem_probability
AMOEBA,3,0,0,12,0,0,FALSE,0.0803891324736847
AMORE,0,0,0,12,0,0,FALSE,0.0578513797619318
AMR,11,0,0,0,11,1,FALSE,0.183147410567722
ANN2,4,0,0,3,9,0,FALSE,0.0895343702857667
ANOM,5,0,0,0,11,1,FALSE,0.0996073011649021
ANOVA.TFNs,1,0,0,0,12,0,FALSE,0.0646128204107019
ANOVAreplication,2,0,0,0,12,0,FALSE,0.0721040324815259
APCanalysis,0,0,0,0,12,0,FALSE,0.0578513797619318
APML0,2,0,0,7,5,0,FALSE,0.0721040324815259
APPEstimation,1,0,0,0,12,0,FALSE,0.0646128204107019
APSIM,6,0,0,0,12,0,FALSE,0.110675716060278
APSIMBatch,0,0,0,12,0,0,FALSE,0.0578513797619318
APfun,5,0,0,1,11,0,FALSE,0.0996073011649021
APtools,2,0,0,0,12,0,FALSE,0.0721040324815259
AR,1,0,0,0,12,0,FALSE,0.0646128204107019
AR1seg,1,0,0,12,0,0,FALSE,0.0646128204107019
ARCensReg,4,0,0,0,12,0,FALSE,0.0895343702857667
ARHT,0,0,0,0,12,0,FALSE,0.0578513797619318
ARIbrain,3,0,0,0,12,0,FALSE,0.0803891324736847
AROC,5,0,0,0,12,0,FALSE,0.0996073011649021
ARPobservation,0,0,0,12,0,0,FALSE,0.0578513797619318
ART,1,0,0,0,12,0,FALSE,0.0646128204107019
ARTIVA,3,0,0,12,0,0,FALSE,0.0803891324736847
ARTP,0,0,0,0,12,0,FALSE,0.0578513797619318
ARTP2,2,0,0,7,5,0,FALSE,0.0721040324815259
ARTool,5,0,0,0,12,0,FALSE,0.0996073011649021
ARpLMEC,9,0,0,5,7,0,FALSE,0.15050530328391
ASGS.foyer,1,0,0,0,12,0,FALSE,0.0646128204107019
ASIP,3,0,0,0,11,1,FALSE,0.0803891324736847
ASMap,5,0,0,0,11,1,FALSE,0.0996073011649021
ASPBay,2,0,0,12,0,0,FALSE,0.0721040324815259
ASSA,0,0,0,0,12,0,FALSE,0.0578513797619318
ASSISTant,2,0,0,0,12,0,FALSE,0.0721040324815259
AST,0,0,0,0,12,0,FALSE,0.0578513797619318
ATE,0,0,0,12,0,0,FALSE,0.0578513797619318
ATR,1,0,0,0,12,0,FALSE,0.0646128204107019
ATmet,5,0,0,12,0,0,FALSE,0.0996073011649021
AUC,0,0,0,12,0,0,FALSE,0.0578513797619318
AUCRF,1,0,0,12,0,0,FALSE,0.0646128204107019
AUtests,1,0,0,0,12,0,FALSE,0.0646128204107019
AWR,1,0,0,7,5,0,FALSE,0.0646128204107019
AWR.Athena,2,0,0,7,5,0,FALSE,0.0721040324815259
AWR.KMS,3,0,0,0,12,0,FALSE,0.0803891324736847
AWR.Kinesis,4,1,0,0,11,0,TRUE,0.0895343702857667
AbSim,2,0,0,0,12,0,FALSE,0.0721040324815259
AbsFilterGSEA,4,0,0,0,12,0,FALSE,0.0895343702857667
Ac3net,1,0,0,0,12,0,FALSE,0.0646128204107019
AcceptanceSampling,0,0,0,0,12,0,FALSE,0.0578513797619318
AcousticNDLCodeR,3,0,0,0,12,0,FALSE,0.0803891324736847
AcrossTic,2,0,0,0,12,0,FALSE,0.0721040324815259
Actigraphy,2,0,0,0,12,0,FALSE,0.0721040324815259
ActiveDriver,1,0,0,0,12,0,FALSE,0.0646128204107019
ActivityIndex,3,0,0,0,12,0,FALSE,0.0803891324736847
AcuityView,3,0,0,0,12,0,FALSE,0.0803891324736847
AdMit,1,0,0,2,10,0,FALSE,0.0646128204107019
AdaSampling,4,0,0,0,12,0,FALSE,0.0895343702857667
AdapEnetClass,4,0,0,0,12,0,FALSE,0.0895343702857667
AdapSamp,1,0,0,0,12,0,FALSE,0.0646128204107019
AdaptFit,4,0,0,12,0,0,FALSE,0.0895343702857667
AdaptFitOS,4,0,0,0,12,0,FALSE,0.0895343702857667
AdaptGauss,3,0,0,0,11,1,FALSE,0.0803891324736847
AdaptiveSparsity,3,0,0,0,12,0,FALSE,0.0803891324736847
AdequacyModel,0,0,0,0,12,0,FALSE,0.0578513797619318
AdhereR,18,0,0,5,7,0,FALSE,0.338272730846271
AdjBQR,4,0,0,0,12,0,FALSE,0.0895343702857667
AdvBinomApps,2,0,0,0,12,0,FALSE,0.0721040324815259
AdvDif4,0,0,0,0,12,0,FALSE,0.0578513797619318
AeRobiology,17,0,0,5,7,0,FALSE,0.312439480946161
AggregateR,1,0,0,0,12,0,FALSE,0.0646128204107019
AgreementInterval,1,1,0,0,10,0,TRUE,0.0646128204107019
AhoCorasickTrie,1,0,0,9,3,0,FALSE,0.0646128204107019
Ake,0,0,0,12,0,0,FALSE,0.0578513797619318
AlgDesign,0,0,0,12,0,0,FALSE,0.0578513797619318
AlgebraicHaploPackage,0,0,0,0,11,1,FALSE,0.0578513797619318
AllPossibleSpellings,0,0,0,12,0,0,FALSE,0.0578513797619318
AlleleRetain,0,0,0,0,12,0,FALSE,0.0578513797619318
AlphaSimR,2,1,0,3,8,0,TRUE,0.0721040324815259
AlphaVantageClient,2,0,0,0,12,0,FALSE,0.0721040324815259
Amelia,2,0,0,0,12,0,FALSE,0.0721040324815259
AmericanCallOpt,0,0,0,12,0,0,FALSE,0.0578513797619318
AmesHousing,2,0,0,0,12,0,FALSE,0.0721040324815259
AmigaFFH,1,0,0,0,12,0,FALSE,0.0646128204107019
AmmoniaConcentration,0,0,0,0,12,0,FALSE,0.0578513797619318
AmostraBrasil,6,0,0,5,7,0,FALSE,0.110675716060278
AmpliconDuo,2,0,0,0,12,0,FALSE,0.0721040324815259
AmyloGram,4,0,0,0,12,0,FALSE,0.0895343702857667
AnDE,4,0,0,12,0,0,FALSE,0.0895343702857667
AnaCoDa,1,1,0,6,5,0,TRUE,0.0646128204107019
AnalyzeFMRI,3,0,0,0,8,4,FALSE,0.0803891324736847
AnalyzeTS,5,0,0,0,12,0,FALSE,0.0996073011649021
AncestryMapper,1,0,0,0,12,0,FALSE,0.0646128204107019
AnglerCreelSurveySimulation,2,0,0,0,12,0,FALSE,0.0721040324815259
AnnotLists,0,0,0,12,0,0,FALSE,0.0578513797619318
AnnotationBustR,2,0,0,0,12,0,FALSE,0.0721040324815259
AnnuityRIR,5,0,0,0,12,0,FALSE,0.0996073011649021
AntAngioCOOL,4,0,0,6,5,0,FALSE,0.0895343702857667
AntWeb,5,0,0,12,0,0,FALSE,0.0996073011649021
AnthropMMD,3,0,0,0,12,0,FALSE,0.0803891324736847
Anthropometry,9,0,0,0,10,2,FALSE,0.15050530328391
Aoptbdtvc,2,0,0,0,12,0,FALSE,0.0721040324815259
ApacheLogProcessor,3,0,0,0,12,0,FALSE,0.0803891324736847
AppliedPredictiveModeling,6,0,0,0,12,0,FALSE,0.110675716060278
AquaEnv,1,0,0,0,12,0,FALSE,0.0646128204107019
ArArRedux,0,0,0,0,12,0,FALSE,0.0578513797619318
ArCo,3,0,0,0,12,0,FALSE,0.0803891324736847
ArDec,0,0,0,12,0,0,FALSE,0.0578513797619318
ArchaeoChron,4,0,0,0,12,0,FALSE,0.0895343702857667
ArchaeoPhases,10,0,0,5,7,0,FALSE,0.166185636270792
ArfimaMLM,3,0,0,12,0,0,FALSE,0.0803891324736847
ArgumentCheck,0,0,0,0,12,0,FALSE,0.0578513797619318
Arothron,9,0,0,0,10,2,FALSE,0.15050530328391
ArrayBin,1,0,0,12,0,0,FALSE,0.0646128204107019
AsioHeaders,0,0,0,0,12,0,FALSE,0.0578513797619318
AssayCorrector,5,0,0,0,12,0,FALSE,0.0996073011649021
AssetCorr,7,0,0,0,11,1,FALSE,0.122806306686478
AssetPricing,2,0,0,0,12,0,FALSE,0.0721040324815259
AssocAFC,1,0,0,0,12,0,FALSE,0.0646128204107019
AssocTests,4,0,0,0,12,0,FALSE,0.0895343702857667
AssotesteR,1,0,0,12,0,0,FALSE,0.0646128204107019
AsynchLong,0,0,0,0,12,0,FALSE,0.0578513797619318
AtelieR,4,2,0,10,0,0,TRUE,0.0895343702857667
AtmRay,0,0,0,12,0,0,FALSE,0.0578513797619318
AurieLSHGaussian,5,0,0,0,12,0,FALSE,0.0996073011649021
AutoDeskR,3,0,0,0,12,0,FALSE,0.0803891324736847
AutoModel,10,0,0,0,12,0,FALSE,0.166185636270792
AutoPipe,11,2,0,0,8,1,TRUE,0.183147410567722
AutoSEARCH,2,0,0,12,0,0,FALSE,0.0721040324815259
AutoStepwiseGLM,2,0,0,0,12,0,FALSE,0.0721040324815259
Autoplotprotein,5,0,0,0,12,0,FALSE,0.0996073011649021
AutoregressionMDE,0,0,0,0,12,0,FALSE,0.0578513797619318
AzureAuth,5,0,0,0,12,0,FALSE,0.0996073011649021
AzureContainers,4,0,0,0,12,0,FALSE,0.0895343702857667
AzureML,7,0,0,0,12,0,FALSE,0.122806306686478
AzureRMR,5,0,0,5,7,0,FALSE,0.0996073011649021
AzureStor,6,0,0,5,7,0,FALSE,0.110675716060278
AzureVM,2,0,0,0,12,0,FALSE,0.0721040324815259
B2Z,3,0,0,12,0,0,FALSE,0.0803891324736847
BACA,3,1,0,0,10,1,TRUE,0.0803891324736847
BACCO,3,0,0,1,11,0,FALSE,0.0803891324736847
BACCT,3,0,0,0,12,0,FALSE,0.0803891324736847
BACprior,3,0,0,12,0,0,FALSE,0.0803891324736847
BAEssd,1,0,0,12,0,0,FALSE,0.0646128204107019
BALCONY,7,0,0,5,7,0,FALSE,0.122806306686478
BALD,3,0,0,2,10,0,FALSE,0.0803891324736847
BAMBI,13,6,0,0,6,0,TRUE,0.221027051483318
BAMMtools,3,0,0,2,10,0,FALSE,0.0803891324736847
BANEScarparkinglite,9,0,0,5,7,0,FALSE,0.15050530328391
BANOVA,4,0,0,7,5,0,FALSE,0.0895343702857667
BART,4,0,0,4,5,3,FALSE,0.0895343702857667
BAS,0,1,0,0,11,0,TRUE,0.0578513797619318
BASIX,0,0,0,12,0,0,FALSE,0.0578513797619318
BASS,0,0,2,0,9,1,TRUE,0.0578513797619318
BASiNET,6,0,0,0,11,0,FALSE,0.110675716060278
BAT,5,0,0,0,10,2,FALSE,0.0996073011649021
BAYESDEF,4,0,0,0,11,1,FALSE,0.0895343702857667
BAYSTAR,2,0,0,12,0,0,FALSE,0.0721040324815259
BAwiR,18,0,0,0,12,0,FALSE,0.338272730846271
BB,1,0,0,0,12,0,FALSE,0.0646128204107019
BBEST,5,0,0,0,12,0,FALSE,0.0996073011649021
BBI,1,0,0,0,12,0,FALSE,0.0646128204107019
BBMM,0,0,0,12,0,0,FALSE,0.0578513797619318
BBMV,1,0,0,0,12,0,FALSE,0.0646128204107019
BBRecapture,4,0,0,12,0,0,FALSE,0.0895343702857667
BBmisc,1,0,0,0,12,0,FALSE,0.0646128204107019
BCA,6,0,0,12,0,0,FALSE,0.110675716060278
BCBCSF,1,0,0,2,10,0,FALSE,0.0646128204107019
BCC1997,0,0,0,0,12,0,FALSE,0.0578513797619318
BCDating,0,0,0,0,12,0,FALSE,0.0578513797619318
BCE,3,0,0,12,0,0,FALSE,0.0803891324736847
BCEA,1,0,0,7,5,0,FALSE,0.0646128204107019
BCEE,3,0,0,4,8,0,FALSE,0.0803891324736847
BCRA,0,0,0,0,12,0,FALSE,0.0578513797619318
BCSub,4,0,0,0,12,0,FALSE,0.0895343702857667
BCellMA,2,0,0,0,11,1,FALSE,0.0721040324815259
BCgee,0,0,0,0,12,0,FALSE,0.0578513797619318
BClustLonG,4,0,0,0,10,2,FALSE,0.0895343702857667
BDP2,3,0,0,0,12,0,FALSE,0.0803891324736847
BDWreg,5,0,0,0,12,0,FALSE,0.0996073011649021
BDgraph,2,1,0,3,8,0,TRUE,0.0721040324815259
BE,1,0,0,0,12,0,FALSE,0.0646128204107019
BEACH,10,0,0,0,12,0,FALSE,0.166185636270792
BEDASSLE,3,0,0,12,0,0,FALSE,0.0803891324736847
BEDMatrix,2,0,0,5,7,0,FALSE,0.0721040324815259
BENMMI,10,0,0,0,12,0,FALSE,0.166185636270792
BEQI2,6,0,0,11,0,1,FALSE,0.110675716060278
BEST,3,0,0,0,12,0,FALSE,0.0803891324736847
BETS,27,0,0,0,12,0,FALSE,0.595955583765735
BGData,8,0,0,0,12,0,FALSE,0.136063049330599
BGGE,0,0,0,0,12,0,FALSE,0.0578513797619318
BGLR,1,1,0,0,11,0,TRUE,0.0646128204107019
BGPhazard,1,0,0,0,12,0,FALSE,0.0646128204107019
BGSIMD,0,0,0,12,0,0,FALSE,0.0578513797619318
BH,0,0,0,7,5,0,FALSE,0.0578513797619318
BHH2,0,0,0,0,12,0,FALSE,0.0578513797619318
BHMSMAfMRI,3,0,0,0,11,1,FALSE,0.0803891324736847
BHSBVAR,1,0,0,0,12,0,FALSE,0.0646128204107019
BHTSpack,2,0,0,0,12,0,FALSE,0.0721040324815259
BICORN,0,0,0,0,12,0,FALSE,0.0578513797619318
BIEN,6,0,1,0,11,0,TRUE,0.110675716060278
BIFIEsurvey,5,0,0,3,9,0,FALSE,0.0996073011649021
BIGDAWG,5,0,0,5,7,0,FALSE,0.0996073011649021
BIGL,8,0,0,0,9,3,FALSE,0.136063049330599
BINCOR,1,0,0,0,12,0,FALSE,0.0646128204107019
BIOM.utils,0,0,0,12,0,0,FALSE,0.0578513797619318
BIOMASS,6,10,0,0,2,0,TRUE,0.110675716060278
BIOdry,2,0,0,0,12,0,FALSE,0.0721040324815259
BIS,5,0,0,0,12,0,FALSE,0.0996073011649021
BKPC,1,0,0,0,12,0,FALSE,0.0646128204107019
BLCOP,7,0,0,12,0,0,FALSE,0.122806306686478
BLModel,0,0,0,0,11,1,FALSE,0.0578513797619318
BLOQ,3,0,0,0,11,1,FALSE,0.0803891324736847
BLPestimatoR,5,0,0,0,12,0,FALSE,0.0996073011649021
BLR,1,0,0,0,12,0,FALSE,0.0646128204107019
BLRPM,1,0,0,0,12,0,FALSE,0.0646128204107019
BLSM,1,0,0,0,12,0,FALSE,0.0646128204107019
BMA,5,0,0,0,12,0,FALSE,0.0996073011649021
BMAmevt,1,0,0,0,11,1,FALSE,0.0646128204107019
BMRBr,2,0,0,0,12,0,FALSE,0.0721040324815259
BMRV,0,0,0,2,10,0,FALSE,0.0578513797619318
BMS,0,0,0,1,11,0,FALSE,0.0578513797619318
BMSC,7,6,0,4,2,0,TRUE,0.122806306686478
BMT,2,0,0,0,12,0,FALSE,0.0721040324815259
BMTME,9,3,4,0,5,0,TRUE,0.15050530328391
BMhyb,12,0,0,0,12,0,FALSE,0.201422189292113
BMhyd,8,0,0,0,12,0,FALSE,0.136063049330599
BMisc,2,0,0,5,7,0,FALSE,0.0721040324815259
BNDataGenerator,0,0,0,12,0,0,FALSE,0.0578513797619318
BNN,1,0,0,0,12,0,FALSE,0.0646128204107019
BNPMIXcluster,7,0,0,4,8,0,FALSE,0.122806306686478
BNPTSclust,2,0,0,12,0,0,FALSE,0.0721040324815259
BNPdensity,0,0,0,0,12,0,FALSE,0.0578513797619318
BNSL,3,0,0,0,12,0,FALSE,0.0803891324736847
BNSP,9,0,0,0,12,0,FALSE,0.15050530328391
BOG,2,0,0,12,0,0,FALSE,0.0721040324815259
BOIN,1,0,0,0,12,0,FALSE,0.0646128204107019
BPEC,11,1,0,0,11,0,TRUE,0.183147410567722
BPM,1,0,0,0,12,0,FALSE,0.0646128204107019
BRETIGEA,0,0,0,0,12,0,FALSE,0.0578513797619318
BRISC,4,0,0,0,12,0,FALSE,0.0895343702857667
BRugs,1,0,0,6,0,3,FALSE,0.0646128204107019
BSDA,2,0,0,0,12,0,FALSE,0.0721040324815259
BSGS,4,0,0,12,0,0,FALSE,0.0895343702857667
BSGW,4,0,0,0,12,0,FALSE,0.0895343702857667
BSL,10,0,0,0,11,1,FALSE,0.166185636270792
BSPADATA,3,0,0,0,12,0,FALSE,0.0803891324736847
BSSasymp,2,0,0,0,12,0,FALSE,0.0721040324815259
BSagri,6,0,0,0,12,0,FALSE,0.110675716060278
BSquare,3,0,0,9,0,3,FALSE,0.0803891324736847
BTLLasso,5,0,0,0,12,0,FALSE,0.0996073011649021
BTM,1,0,0,0,12,0,FALSE,0.0646128204107019
BTR,8,0,0,2,10,0,FALSE,0.136063049330599
BTSPAS,6,0,0,12,0,0,FALSE,0.110675716060278
BTYD,2,0,0,12,0,0,FALSE,0.0721040324815259
BTYDplus,6,0,0,3,9,0,FALSE,0.110675716060278
BTdecayLasso,2,0,0,0,12,0,FALSE,0.0721040324815259
BUCSS,0,0,0,0,12,0,FALSE,0.0578513797619318
BVS,3,0,0,12,0,0,FALSE,0.0803891324736847
BVSNLP,3,0,0,3,9,0,FALSE,0.0803891324736847
BWStest,2,0,0,0,12,0,FALSE,0.0721040324815259
BaBooN,5,0,0,12,0,0,FALSE,0.0996073011649021
BaM,5,0,0,0,12,0,FALSE,0.0996073011649021
BaMORC,11,0,0,8,4,0,FALSE,0.183147410567722
BaPreStoPro,0,0,0,0,12,0,FALSE,0.0578513797619318
BaSTA,1,0,0,0,12,0,FALSE,0.0646128204107019
BaTFLED3D,5,0,0,3,9,0,FALSE,0.0996073011649021
BacArena,10,0,0,8,4,0,FALSE,0.166185636270792
BalanceCheck,2,0,0,0,12,0,FALSE,0.0721040324815259
BalancedSampling,2,0,0,0,12,0,FALSE,0.0721040324815259
Ball,3,0,0,0,11,1,FALSE,0.0803891324736847
BarBorGradient,0,0,0,0,12,0,FALSE,0.0578513797619318
BarcodingR,4,0,0,0,12,0,FALSE,0.0895343702857667
Barnard,0,0,0,2,10,0,FALSE,0.0578513797619318
Barycenter,1,0,0,3,9,0,FALSE,0.0646128204107019
BatchExperiments,7,0,0,0,12,0,FALSE,0.122806306686478
BatchGetSymbols,9,0,0,0,12,0,FALSE,0.15050530328391
BatchJobs,10,0,0,0,12,0,FALSE,0.166185636270792
BatchMap,2,0,0,0,12,0,FALSE,0.0721040324815259
BayClone2,1,3,0,9,0,0,TRUE,0.0646128204107019
BayHap,1,0,0,8,0,4,FALSE,0.0646128204107019
BayHaz,0,0,0,12,0,0,FALSE,0.0578513797619318
BayLum,6,0,0,0,12,0,FALSE,0.110675716060278
BaySIC,3,0,0,12,0,0,FALSE,0.0803891324736847
BayesBD,5,2,0,0,8,2,TRUE,0.0996073011649021
BayesBinMix,4,0,0,0,12,0,FALSE,0.0895343702857667
BayesCR,4,0,0,6,6,0,FALSE,0.0895343702857667
BayesCTDesign,4,1,0,0,10,0,TRUE,0.0895343702857667
BayesCombo,0,0,0,0,12,0,FALSE,0.0578513797619318
BayesComm,4,0,0,2,10,0,FALSE,0.0895343702857667
BayesDA,0,0,0,0,12,0,FALSE,0.0578513797619318
BayesESS,6,0,0,5,7,0,FALSE,0.110675716060278
BayesFM,5,1,0,0,11,0,TRUE,0.0996073011649021
BayesFactor,9,0,0,7,5,0,FALSE,0.15050530328391
BayesGESM,3,0,0,12,0,0,FALSE,0.0803891324736847
BayesGOF,4,0,0,0,12,0,FALSE,0.0895343702857667
BayesH,0,0,0,2,10,0,FALSE,0.0578513797619318
BayesLCA,5,0,0,12,0,0,FALSE,0.0996073011649021
BayesMAMS,1,0,0,0,11,1,FALSE,0.0646128204107019
BayesMallows,13,0,0,1,11,0,FALSE,0.221027051483318
BayesMed,4,0,0,12,0,0,FALSE,0.0895343702857667
BayesMixSurv,1,0,0,0,12,0,FALSE,0.0646128204107019
BayesNI,0,0,0,12,0,0,FALSE,0.0578513797619318
BayesNetBP,9,0,0,0,12,0,FALSE,0.15050530328391
BayesPieceHazSelect,1,0,0,0,12,0,FALSE,0.0646128204107019
BayesPiecewiseICAR,1,0,0,0,12,0,FALSE,0.0646128204107019
BayesRS,5,0,0,0,12,0,FALSE,0.0996073011649021
BayesS5,3,0,0,0,12,0,FALSE,0.0803891324736847
BayesSAE,3,0,0,0,12,0,FALSE,0.0803891324736847
BayesSingleSub,3,0,0,12,0,0,FALSE,0.0803891324736847
BayesSpec,3,0,0,0,12,0,FALSE,0.0803891324736847
BayesSummaryStatLM,2,0,0,12,0,0,FALSE,0.0721040324815259
BayesTree,1,0,0,2,10,0,FALSE,0.0646128204107019
BayesTreePrior,0,0,0,0,12,0,FALSE,0.0578513797619318
BayesTwin,4,0,0,0,12,0,FALSE,0.0895343702857667
BayesValidate,0,0,0,12,0,0,FALSE,0.0578513797619318
BayesVarSel,2,0,0,2,10,0,FALSE,0.0721040324815259
BayesX,5,0,0,0,12,0,FALSE,0.0996073011649021
BayesXsrc,0,0,0,12,0,0,FALSE,0.0578513797619318
BayesianAnimalTracker,1,0,0,12,0,0,FALSE,0.0646128204107019
BayesianGLasso,2,0,0,0,12,0,FALSE,0.0721040324815259
BayesianNetwork,12,0,0,5,7,0,FALSE,0.201422189292113
BayesianTools,14,0,0,0,12,0,FALSE,0.241961935065665
Bayesrel,9,0,0,0,11,1,FALSE,0.15050530328391
BaylorEdPsych,0,0,0,12,0,0,FALSE,0.0578513797619318
BcDiag,1,0,0,0,12,0,FALSE,0.0646128204107019
Bchron,4,0,0,0,12,0,FALSE,0.0895343702857667
Bclim,4,0,0,7,3,2,FALSE,0.0895343702857667
BeSS,4,1,0,3,8,0,TRUE,0.0895343702857667
Benchmarking,2,0,0,0,12,0,FALSE,0.0721040324815259
BenfordTests,0,0,0,2,10,0,FALSE,0.0578513797619318
Bergm,6,1,0,0,11,0,TRUE,0.110675716060278
Bessel,1,0,0,9,0,3,FALSE,0.0646128204107019
BetaBit,1,0,0,5,7,0,FALSE,0.0646128204107019
BeviMed,1,0,0,0,11,1,FALSE,0.0646128204107019
BeyondBenford,0,0,0,0,12,0,FALSE,0.0578513797619318
Bhat,0,0,0,12,0,0,FALSE,0.0578513797619318
BiBitR,7,0,0,0,12,0,FALSE,0.122806306686478
BiDAG,2,0,0,0,12,0,FALSE,0.0721040324815259
BiDimRegression,1,0,0,0,12,0,FALSE,0.0646128204107019
BiG,1,5,0,0,7,0,TRUE,0.0646128204107019
BiProbitPartial,8,0,0,0,11,1,FALSE,0.136063049330599
BiSEp,3,1,0,2,9,0,TRUE,0.0803891324736847
BiTrinA,1,0,0,3,9,0,FALSE,0.0646128204107019
BiasedUrn,0,0,0,2,10,0,FALSE,0.0578513797619318
BibPlots,0,0,0,0,12,0,FALSE,0.0578513797619318
BigQuic,3,1,0,4,7,0,TRUE,0.0803891324736847
BigSEM,2,0,0,0,12,0,FALSE,0.0721040324815259
BigTSP,4,1,0,11,0,0,TRUE,0.0895343702857667
BigVAR,4,0,0,3,9,0,FALSE,0.0895343702857667
BimodalIndex,2,0,0,0,12,0,FALSE,0.0721040324815259
BinNonNor,4,0,0,0,12,0,FALSE,0.0895343702857667
BinNor,4,0,0,0,12,0,FALSE,0.0895343702857667
BinOrdNonNor,6,0,0,0,12,0,FALSE,0.110675716060278
BinQuasi,13,4,0,0,8,0,TRUE,0.221027051483318
Binarize,1,0,0,3,9,0,FALSE,0.0646128204107019
BinaryEMVS,0,0,0,0,12,0,FALSE,0.0578513797619318
BinaryEPPM,4,0,0,0,12,0,FALSE,0.0895343702857667
BinarybalancedCut,2,0,0,0,11,1,FALSE,0.0721040324815259
BioCircos,4,0,0,0,8,4,FALSE,0.0895343702857667
BioFTF,0,0,0,12,0,0,FALSE,0.0578513797619318
BioInstaller,12,0,0,7,5,0,FALSE,0.201422189292113
BioMark,4,0,0,0,12,0,FALSE,0.0895343702857667
BioMedR,10,4,0,0,8,0,TRUE,0.166185636270792
BioPET,4,0,0,0,12,0,FALSE,0.0895343702857667
BioStatR,1,0,0,0,12,0,FALSE,0.0646128204107019
BiocManager,0,1,0,3,7,0,TRUE,0.0578513797619318
Biocomb,15,0,0,0,9,2,FALSE,0.264207155555033
Biodem,0,0,0,0,12,0,FALSE,0.0578513797619318
BiodiversityR,2,1,0,9,2,0,TRUE,0.0721040324815259
Biograph,10,0,0,0,12,0,FALSE,0.166185636270792
Bioi,4,0,0,0,12,0,FALSE,0.0895343702857667
Biolinv,5,0,0,0,12,0,FALSE,0.0996073011649021
Bios2cor,4,0,0,0,12,0,FALSE,0.0895343702857667
BiplotGUI,8,0,0,5,0,0,FALSE,0.136063049330599
BisRNA,1,0,0,5,7,0,FALSE,0.0646128204107019
BivGeo,0,0,0,0,11,1,FALSE,0.0578513797619318
BivRec,6,0,0,5,7,0,FALSE,0.110675716060278
BivRegBLS,1,0,0,0,12,0,FALSE,0.0646128204107019
