"parent"	"child"
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	14.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	15.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	16.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	17.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	18.28
16	19.28
16	19.28
16	19.28
16	20.28
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	13.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	14.77
15	15.77
15	15.77
15	15.77
15	15.77
15	15.77
15	15.77
15	15.77
15	15.77
15	15.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	16.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	17.77
15	18.77
15	18.77
15	18.77
15	18.77
15	19.77
15	19.77
