family	father	mother	gender	height	kids	male	female
"15"	73.0	66.5	"M"	70.5	3	1.0	0.0
"15"	73.0	66.5	"F"	66.7	3	0.0	1.0
"16"	73.0	65.0	"M"	72.0	9	1.0	0.0
"16"	73.0	65.0	"M"	70.5	9	1.0	0.0
"16"	73.0	65.0	"M"	70.2	9	1.0	0.0
"16"	73.0	65.0	"M"	70.2	9	1.0	0.0
"16"	73.0	65.0	"M"	69.2	9	1.0	0.0
"16"	73.0	65.0	"F"	68.7	9	0.0	1.0
"16"	73.0	65.0	"F"	66.5	9	0.0	1.0
"16"	73.0	65.0	"F"	64.5	9	0.0	1.0
"16"	73.0	65.0	"F"	63.5	9	0.0	1.0
"17"	73.0	64.5	"M"	74.0	6	1.0	0.0
"17"	73.0	64.5	"M"	73.0	6	1.0	0.0
"17"	73.0	64.5	"M"	71.5	6	1.0	0.0
"17"	73.0	64.5	"M"	62.5	6	1.0	0.0
"17"	73.0	64.5	"F"	66.5	6	0.0	1.0
"17"	73.0	64.5	"F"	62.3	6	0.0	1.0
"18"	73.0	64.0	"F"	66.0	3	0.0	1.0
"18"	73.0	64.0	"F"	64.5	3	0.0	1.0
"18"	73.0	64.0	"F"	64.0	3	0.0	1.0
"19"	73.2	63.0	"F"	62.7	1	0.0	1.0
"20"	72.7	69.0	"M"	73.2	8	1.0	0.0
"20"	72.7	69.0	"M"	73.0	8	1.0	0.0
"20"	72.7	69.0	"M"	72.7	8	1.0	0.0
"20"	72.7	69.0	"F"	70.0	8	0.0	1.0
"20"	72.7	69.0	"F"	69.0	8	0.0	1.0
"20"	72.7	69.0	"F"	68.5	8	0.0	1.0
"20"	72.7	69.0	"F"	68.0	8	0.0	1.0
"20"	72.7	69.0	"F"	66.0	8	0.0	1.0
"21"	72.0	68.0	"M"	73.0	3	1.0	0.0
"21"	72.0	68.0	"F"	68.5	3	0.0	1.0
"21"	72.0	68.0	"F"	68.0	3	0.0	1.0
"22"	72.0	67.0	"M"	73.0	3	1.0	0.0
"22"	72.0	67.0	"M"	71.0	3	1.0	0.0
"22"	72.0	67.0	"F"	67.0	3	0.0	1.0
"23"	72.0	65.0	"M"	74.2	7	1.0	0.0
"23"	72.0	65.0	"M"	70.5	7	1.0	0.0
"23"	72.0	65.0	"M"	69.5	7	1.0	0.0
"23"	72.0	65.0	"F"	66.0	7	0.0	1.0
"23"	72.0	65.0	"F"	65.5	7	0.0	1.0
"23"	72.0	65.0	"F"	65.0	7	0.0	1.0
"23"	72.0	65.0	"F"	65.0	7	0.0	1.0
"24"	72.0	65.5	"F"	65.5	1	0.0	1.0
"25"	72.0	64.0	"F"	66.0	2	0.0	1.0
"25"	72.0	64.0	"F"	63.0	2	0.0	1.0
"26"	72.0	63.0	"M"	70.5	5	1.0	0.0
"26"	72.0	63.0	"M"	70.5	5	1.0	0.0
"26"	72.0	63.0	"M"	69.0	5	1.0	0.0
"26"	72.0	63.0	"F"	65.0	5	0.0	1.0
"26"	72.0	63.0	"F"	63.0	5	0.0	1.0
"27"	72.0	63.0	"M"	69.0	3	1.0	0.0
"27"	72.0	63.0	"M"	67.0	3	1.0	0.0
"27"	72.0	63.0	"F"	63.0	3	0.0	1.0
"28"	72.0	63.0	"M"	73.0	6	1.0	0.0
"28"	72.0	63.0	"M"	67.0	6	1.0	0.0
"28"	72.0	63.0	"F"	70.5	6	0.0	1.0
"28"	72.0	63.0	"F"	70.0	6	0.0	1.0
"28"	72.0	63.0	"F"	66.5	6	0.0	1.0
"28"	72.0	63.0	"F"	63.0	6	0.0	1.0
"29"	72.5	63.5	"F"	67.5	3	0.0	1.0
"29"	72.5	63.5	"F"	67.2	3	0.0	1.0
"29"	72.5	63.5	"F"	66.7	3	0.0	1.0
"30"	72.0	62.0	"F"	64.0	1	0.0	1.0
"31"	72.5	62.0	"M"	71.0	6	1.0	0.0
"31"	72.5	62.0	"M"	70.0	6	1.0	0.0
"31"	72.5	62.0	"M"	70.0	6	1.0	0.0
"31"	72.5	62.0	"F"	66.0	6	0.0	1.0
"31"	72.5	62.0	"F"	65.0	6	0.0	1.0
"31"	72.5	62.0	"F"	65.0	6	0.0	1.0
"32"	72.0	62.0	"M"	74.0	5	1.0	0.0
"32"	72.0	62.0	"M"	72.0	5	1.0	0.0
"32"	72.0	62.0	"M"	69.0	5	1.0	0.0
"32"	72.0	62.0	"F"	67.5	5	0.0	1.0
"32"	72.0	62.0	"F"	63.5	5	0.0	1.0
"33"	72.0	62.0	"M"	72.0	5	1.0	0.0
"33"	72.0	62.0	"M"	71.5	5	1.0	0.0
"33"	72.0	62.0	"M"	71.5	5	1.0	0.0
"33"	72.0	62.0	"M"	70.0	5	1.0	0.0
"33"	72.0	62.0	"F"	68.0	5	0.0	1.0
"34"	72.0	61.0	"F"	65.7	1	0.0	1.0
"35"	71.0	69.0	"M"	78.0	5	1.0	0.0
"35"	71.0	69.0	"M"	74.0	5	1.0	0.0
"35"	71.0	69.0	"M"	73.0	5	1.0	0.0
"35"	71.0	69.0	"M"	72.0	5	1.0	0.0
"35"	71.0	69.0	"F"	67.0	5	0.0	1.0
"36"	71.0	67.0	"M"	73.2	4	1.0	0.0
"36"	71.0	67.0	"M"	73.0	4	1.0	0.0
"36"	71.0	67.0	"M"	69.0	4	1.0	0.0
"36"	71.0	67.0	"F"	67.0	4	0.0	1.0
"37"	71.0	66.0	"M"	70.0	4	1.0	0.0
"37"	71.0	66.0	"F"	67.0	4	0.0	1.0
"37"	71.0	66.0	"F"	67.0	4	0.0	1.0
"37"	71.0	66.0	"F"	66.5	4	0.0	1.0
"38"	71.0	66.0	"M"	70.0	6	1.0	0.0
"38"	71.0	66.0	"M"	69.0	6	1.0	0.0
"38"	71.0	66.0	"M"	68.5	6	1.0	0.0
"38"	71.0	66.0	"F"	66.0	6	0.0	1.0
"38"	71.0	66.0	"F"	64.5	6	0.0	1.0
"38"	71.0	66.0	"F"	63.0	6	0.0	1.0
"39"	71.0	66.0	"M"	71.0	2	1.0	0.0
"39"	71.0	66.0	"F"	67.0	2	0.0	1.0
"40"	71.0	66.0	"M"	76.0	5	1.0	0.0
"40"	71.0	66.0	"M"	72.0	5	1.0	0.0
"40"	71.0	66.0	"M"	71.0	5	1.0	0.0
"40"	71.0	66.0	"M"	66.0	5	1.0	0.0
"40"	71.0	66.0	"F"	66.0	5	0.0	1.0
"41"	71.7	65.5	"M"	70.5	1	1.0	0.0
"42"	71.0	65.5	"M"	72.0	6	1.0	0.0
"42"	71.0	65.5	"M"	72.0	6	1.0	0.0
"42"	71.0	65.5	"M"	71.0	6	1.0	0.0
"42"	71.0	65.5	"M"	69.0	6	1.0	0.0
"42"	71.0	65.5	"F"	66.0	6	0.0	1.0
"42"	71.0	65.5	"F"	65.0	6	0.0	1.0
"43"	71.5	65.5	"M"	73.0	2	1.0	0.0
"43"	71.5	65.5	"F"	65.2	2	0.0	1.0
"44"	71.5	65.0	"M"	68.5	2	1.0	0.0
"44"	71.5	65.0	"M"	67.7	2	1.0	0.0
"45"	71.0	65.0	"M"	68.0	3	1.0	0.0
"45"	71.0	65.0	"M"	68.0	3	1.0	0.0
"45"	71.0	65.0	"F"	62.0	3	0.0	1.0
"46"	71.0	64.0	"F"	68.0	8	0.0	1.0
"46"	71.0	64.0	"F"	68.0	8	0.0	1.0
"46"	71.0	64.0	"F"	67.5	8	0.0	1.0
"46"	71.0	64.0	"F"	66.5	8	0.0	1.0
"46"	71.0	64.0	"F"	66.5	8	0.0	1.0
"46"	71.0	64.0	"F"	66.0	8	0.0	1.0
"46"	71.0	64.0	"F"	65.5	8	0.0	1.0
"46"	71.0	64.0	"F"	65.0	8	0.0	1.0
"47"	71.7	64.5	"M"	72.0	4	1.0	0.0
"47"	71.7	64.5	"M"	71.0	4	1.0	0.0
"47"	71.7	64.5	"M"	70.5	4	1.0	0.0
"47"	71.7	64.5	"F"	67.0	4	0.0	1.0
"48"	71.0	64.0	"M"	68.0	3	1.0	0.0
"48"	71.0	64.0	"M"	68.0	3	1.0	0.0
"48"	71.0	64.0	"M"	68.0	3	1.0	0.0
"49"	71.5	64.5	"M"	72.0	7	1.0	0.0
"49"	71.5	64.5	"M"	71.0	7	1.0	0.0
"49"	71.5	64.5	"M"	70.0	7	1.0	0.0
"49"	71.5	64.5	"F"	66.0	7	0.0	1.0
"49"	71.5	64.5	"F"	64.5	7	0.0	1.0
"49"	71.5	64.5	"F"	64.5	7	0.0	1.0
"49"	71.5	64.5	"F"	62.0	7	0.0	1.0
"51"	71.2	63.0	"F"	67.5	2	0.0	1.0
"51"	71.2	63.0	"F"	64.5	2	0.0	1.0
"52"	71.0	63.5	"M"	71.0	5	1.0	0.0
"52"	71.0	63.5	"M"	67.0	5	1.0	0.0
"52"	71.0	63.5	"F"	66.0	5	0.0	1.0
"52"	71.0	63.5	"F"	65.0	5	0.0	1.0
"52"	71.0	63.5	"F"	63.5	5	0.0	1.0
"53"	71.0	63.0	"M"	71.0	9	1.0	0.0
"53"	71.0	63.0	"M"	70.0	9	1.0	0.0
"53"	71.0	63.0	"M"	70.0	9	1.0	0.0
"53"	71.0	63.0	"M"	64.0	9	1.0	0.0
"53"	71.0	63.0	"F"	65.0	9	0.0	1.0
"53"	71.0	63.0	"F"	65.0	9	0.0	1.0
"53"	71.0	63.0	"F"	64.0	9	0.0	1.0
"53"	71.0	63.0	"F"	63.0	9	0.0	1.0
"53"	71.0	63.0	"F"	63.0	9	0.0	1.0
"54"	71.0	63.0	"M"	71.0	4	1.0	0.0
"54"	71.0	63.0	"M"	71.0	4	1.0	0.0
"54"	71.0	63.0	"M"	70.0	4	1.0	0.0
"54"	71.0	63.0	"F"	63.5	4	0.0	1.0
"55"	71.0	62.0	"M"	71.0	5	1.0	0.0
"55"	71.0	62.0	"M"	70.0	5	1.0	0.0
"55"	71.0	62.0	"F"	64.5	5	0.0	1.0
"55"	71.0	62.0	"F"	62.5	5	0.0	1.0
"55"	71.0	62.0	"F"	61.5	5	0.0	1.0
"56"	71.0	62.0	"M"	72.0	5	1.0	0.0
"56"	71.0	62.0	"M"	70.5	5	1.0	0.0
"56"	71.0	62.0	"M"	70.5	5	1.0	0.0
"56"	71.0	62.0	"F"	64.5	5	0.0	1.0
"56"	71.0	62.0	"F"	60.0	5	0.0	1.0
"57"	71.0	62.5	"M"	70.0	5	1.0	0.0
"57"	71.0	62.5	"F"	64.0	5	0.0	1.0
"57"	71.0	62.5	"F"	64.0	5	0.0	1.0
"57"	71.0	62.5	"F"	64.0	5	0.0	1.0
"57"	71.0	62.5	"F"	62.5	5	0.0	1.0
"58"	71.0	62.0	"M"	70.5	7	1.0	0.0
"58"	71.0	62.0	"M"	70.0	7	1.0	0.0
"58"	71.0	62.0	"M"	69.0	7	1.0	0.0
"58"	71.0	62.0	"M"	69.0	7	1.0	0.0
"58"	71.0	62.0	"M"	66.0	7	1.0	0.0
"58"	71.0	62.0	"F"	64.5	7	0.0	1.0
"58"	71.0	62.0	"F"	64.0	7	0.0	1.0
"59"	71.0	61.0	"F"	62.0	1	0.0	1.0
"60"	71.0	58.0	"M"	71.5	2	1.0	0.0
"60"	71.0	58.0	"M"	69.0	2	1.0	0.0
"61"	70.0	69.0	"M"	71.0	4	1.0	0.0
"61"	70.0	69.0	"M"	70.0	4	1.0	0.0
"61"	70.0	69.0	"M"	69.0	4	1.0	0.0
"61"	70.0	69.0	"F"	69.0	4	0.0	1.0
"62"	70.0	69.0	"M"	70.0	6	1.0	0.0
"62"	70.0	69.0	"M"	68.7	6	1.0	0.0
"62"	70.0	69.0	"F"	68.0	6	0.0	1.0
"62"	70.0	69.0	"F"	66.0	6	0.0	1.0
"62"	70.0	69.0	"F"	64.0	6	0.0	1.0
"62"	70.0	69.0	"F"	62.0	6	0.0	1.0
"63"	70.0	68.0	"M"	75.0	1	1.0	0.0
"64"	70.0	67.0	"M"	70.0	5	1.0	0.0
"64"	70.0	67.0	"M"	69.0	5	1.0	0.0
"64"	70.0	67.0	"F"	66.0	5	0.0	1.0
"64"	70.0	67.0	"F"	64.0	5	0.0	1.0
"64"	70.0	67.0	"F"	60.0	5	0.0	1.0
"65"	70.0	67.0	"F"	67.5	1	0.0	1.0
"66"	70.0	66.5	"M"	73.0	11	1.0	0.0
"66"	70.0	66.5	"M"	72.0	11	1.0	0.0
"66"	70.0	66.5	"M"	72.0	11	1.0	0.0
"66"	70.0	66.5	"M"	66.5	11	1.0	0.0
"66"	70.0	66.5	"F"	69.2	11	0.0	1.0
"66"	70.0	66.5	"F"	67.2	11	0.0	1.0
"66"	70.0	66.5	"F"	66.5	11	0.0	1.0
"66"	70.0	66.5	"F"	66.0	11	0.0	1.0
"66"	70.0	66.5	"F"	66.0	11	0.0	1.0
"66"	70.0	66.5	"F"	64.2	11	0.0	1.0
"66"	70.0	66.5	"F"	63.7	11	0.0	1.0
"67"	70.5	65.0	"M"	72.0	4	1.0	0.0
"67"	70.5	65.0	"M"	70.2	4	1.0	0.0
"67"	70.5	65.0	"M"	69.0	4	1.0	0.0
"67"	70.5	65.0	"M"	68.5	4	1.0	0.0
"68"	70.5	65.0	"F"	68.0	5	0.0	1.0
"68"	70.5	65.0	"F"	65.0	5	0.0	1.0
"68"	70.5	65.0	"F"	61.5	5	0.0	1.0
"68"	70.5	65.0	"F"	61.0	5	0.0	1.0
"68"	70.5	65.0	"F"	61.0	5	0.0	1.0
"69"	70.0	65.0	"M"	73.0	8	1.0	0.0
"69"	70.0	65.0	"M"	72.0	8	1.0	0.0
"69"	70.0	65.0	"M"	70.5	8	1.0	0.0
"69"	70.0	65.0	"M"	65.0	8	1.0	0.0
"69"	70.0	65.0	"M"	65.0	8	1.0	0.0
"69"	70.0	65.0	"F"	64.5	8	0.0	1.0
"69"	70.0	65.0	"F"	63.0	8	0.0	1.0
"69"	70.0	65.0	"F"	62.0	8	0.0	1.0
"70"	70.0	65.0	"M"	67.0	5	1.0	0.0
"70"	70.0	65.0	"M"	65.0	5	1.0	0.0
"70"	70.0	65.0	"F"	64.5	5	0.0	1.0
"70"	70.0	65.0	"F"	62.5	5	0.0	1.0
"70"	70.0	65.0	"F"	62.5	5	0.0	1.0
"71"	70.0	65.0	"M"	70.0	6	1.0	0.0
"71"	70.0	65.0	"M"	70.0	6	1.0	0.0
"71"	70.0	65.0	"F"	67.0	6	0.0	1.0
"71"	70.0	65.0	"F"	65.0	6	0.0	1.0
"71"	70.0	65.0	"F"	65.0	6	0.0	1.0
"71"	70.0	65.0	"F"	63.0	6	0.0	1.0
"72"	70.0	65.0	"M"	79.0	7	1.0	0.0
"72"	70.0	65.0	"M"	75.0	7	1.0	0.0
"72"	70.0	65.0	"M"	71.0	7	1.0	0.0
"72"	70.0	65.0	"F"	69.0	7	0.0	1.0
"72"	70.0	65.0	"F"	67.0	7	0.0	1.0
"72"	70.0	65.0	"F"	65.7	7	0.0	1.0
"72"	70.0	65.0	"F"	62.0	7	0.0	1.0
"73"	70.0	65.0	"M"	73.0	3	1.0	0.0
"73"	70.0	65.0	"M"	72.5	3	1.0	0.0
"73"	70.0	65.0	"F"	65.0	3	0.0	1.0
"74"	70.0	65.0	"M"	69.0	2	1.0	0.0
"74"	70.0	65.0	"M"	69.0	2	1.0	0.0
"75"	70.0	64.7	"M"	72.0	7	1.0	0.0
"75"	70.0	64.7	"M"	70.0	7	1.0	0.0
"75"	70.0	64.7	"M"	68.7	7	1.0	0.0
"75"	70.0	64.7	"F"	66.5	7	0.0	1.0
"75"	70.0	64.7	"F"	65.5	7	0.0	1.0
"75"	70.0	64.7	"F"	64.7	7	0.0	1.0
"75"	70.0	64.7	"F"	64.5	7	0.0	1.0
"76"	70.0	64.0	"M"	70.7	7	1.0	0.0
"76"	70.0	64.0	"M"	70.0	7	1.0	0.0
"76"	70.0	64.0	"M"	68.0	7	1.0	0.0
"76"	70.0	64.0	"M"	67.0	7	1.0	0.0
"76"	70.0	64.0	"M"	66.0	7	1.0	0.0
"76"	70.0	64.0	"M"	65.0	7	1.0	0.0
"76"	70.0	64.0	"F"	67.0	7	0.0	1.0
"77"	70.0	64.0	"M"	70.0	4	1.0	0.0
"77"	70.0	64.0	"M"	68.0	4	1.0	0.0
"77"	70.0	64.0	"M"	66.7	4	1.0	0.0
"77"	70.0	64.0	"F"	65.5	4	0.0	1.0
"78"	70.0	64.2	"M"	72.0	5	1.0	0.0
"78"	70.0	64.2	"M"	70.0	5	1.0	0.0
"78"	70.0	64.2	"F"	62.5	5	0.0	1.0
"78"	70.0	64.2	"F"	61.2	5	0.0	1.0
"78"	70.0	64.2	"F"	60.1	5	0.0	1.0
"79"	70.5	64.0	"M"	74.0	8	1.0	0.0
"79"	70.5	64.0	"M"	69.5	8	1.0	0.0
"79"	70.5	64.0	"M"	69.0	8	1.0	0.0
"79"	70.5	64.0	"M"	68.0	8	1.0	0.0
"79"	70.5	64.0	"M"	68.0	8	1.0	0.0
"79"	70.5	64.0	"M"	68.0	8	1.0	0.0
"79"	70.5	64.0	"F"	65.5	8	0.0	1.0
"79"	70.5	64.0	"F"	65.0	8	0.0	1.0
"80"	70.5	64.5	"F"	60.0	1	0.0	1.0
"81"	70.0	64.0	"M"	68.0	4	1.0	0.0
"81"	70.0	64.0	"F"	65.0	4	0.0	1.0
"81"	70.0	64.0	"F"	64.0	4	0.0	1.0
"81"	70.0	64.0	"F"	62.0	4	0.0	1.0
"82"	70.0	64.0	"M"	71.0	9	1.0	0.0
"82"	70.0	64.0	"M"	70.0	9	1.0	0.0
"82"	70.0	64.0	"M"	70.0	9	1.0	0.0
"82"	70.0	64.0	"M"	70.0	9	1.0	0.0
"82"	70.0	64.0	"M"	69.5	9	1.0	0.0
"82"	70.0	64.0	"M"	68.5	9	1.0	0.0
"82"	70.0	64.0	"F"	69.0	9	0.0	1.0
"82"	70.0	64.0	"F"	65.0	9	0.0	1.0
"82"	70.0	64.0	"F"	64.0	9	0.0	1.0
"83"	70.0	63.7	"M"	70.0	8	1.0	0.0
"83"	70.0	63.7	"M"	67.0	8	1.0	0.0
"83"	70.0	63.7	"M"	65.5	8	1.0	0.0
"83"	70.0	63.7	"F"	63.7	8	0.0	1.0
"83"	70.0	63.7	"F"	63.2	8	0.0	1.0
"83"	70.0	63.7	"F"	62.5	8	0.0	1.0
"83"	70.0	63.7	"F"	62.2	8	0.0	1.0
"83"	70.0	63.7	"F"	61.0	8	0.0	1.0
"85"	70.5	63.0	"M"	72.5	5	1.0	0.0
"85"	70.5	63.0	"M"	69.0	5	1.0	0.0
"85"	70.5	63.0	"M"	67.0	5	1.0	0.0
"85"	70.5	63.0	"F"	64.5	5	0.0	1.0
"85"	70.5	63.0	"F"	64.0	5	0.0	1.0
"86"	70.0	63.5	"M"	71.0	4	1.0	0.0
"86"	70.0	63.5	"M"	67.5	4	1.0	0.0
"86"	70.0	63.5	"F"	67.5	4	0.0	1.0
"86"	70.0	63.5	"F"	63.5	4	0.0	1.0
"87"	70.0	63.0	"M"	68.0	4	1.0	0.0
"87"	70.0	63.0	"M"	67.0	4	1.0	0.0
"87"	70.0	63.0	"F"	63.7	4	0.0	1.0
"87"	70.0	63.0	"F"	62.0	4	0.0	1.0
"88"	70.0	63.0	"M"	70.0	4	1.0	0.0
"88"	70.0	63.0	"M"	66.5	4	1.0	0.0
"88"	70.0	63.0	"F"	62.0	4	0.0	1.0
"88"	70.0	63.0	"F"	61.0	4	0.0	1.0
"89"	70.5	62.0	"M"	72.0	8	1.0	0.0
"89"	70.5	62.0	"M"	70.0	8	1.0	0.0
"89"	70.5	62.0	"M"	69.5	8	1.0	0.0
"89"	70.5	62.0	"M"	69.5	8	1.0	0.0
"89"	70.5	62.0	"M"	68.0	8	1.0	0.0
"89"	70.5	62.0	"F"	65.0	8	0.0	1.0
"89"	70.5	62.0	"F"	64.0	8	0.0	1.0
"89"	70.5	62.0	"F"	63.0	8	0.0	1.0
"90"	70.3	62.7	"M"	70.7	7	1.0	0.0
"90"	70.3	62.7	"M"	69.7	7	1.0	0.0
"90"	70.3	62.7	"M"	69.2	7	1.0	0.0
"90"	70.3	62.7	"M"	65.2	7	1.0	0.0
"90"	70.3	62.7	"F"	64.0	7	0.0	1.0
"90"	70.3	62.7	"F"	63.5	7	0.0	1.0
"90"	70.3	62.7	"F"	63.2	7	0.0	1.0
"91"	70.5	62.0	"M"	72.0	3	1.0	0.0
"91"	70.5	62.0	"M"	72.0	3	1.0	0.0
"91"	70.5	62.0	"F"	60.0	3	0.0	1.0
"92"	70.0	61.0	"M"	71.2	2	1.0	0.0
"92"	70.0	61.0	"M"	67.0	2	1.0	0.0
"93"	70.0	60.0	"M"	67.0	4	1.0	0.0
"93"	70.0	60.0	"M"	64.5	4	1.0	0.0
"93"	70.0	60.0	"F"	65.0	4	0.0	1.0
"93"	70.0	60.0	"F"	63.0	4	0.0	1.0
"94"	70.0	60.0	"F"	65.0	2	0.0	1.0
"94"	70.0	60.0	"F"	65.0	2	0.0	1.0
"95"	70.0	58.5	"M"	71.5	3	1.0	0.0
"95"	70.0	58.5	"M"	64.5	3	1.0	0.0
"95"	70.0	58.5	"F"	63.0	3	0.0	1.0
"96"	70.0	58.0	"M"	72.0	5	1.0	0.0
"96"	70.0	58.0	"M"	66.0	5	1.0	0.0
"96"	70.0	58.0	"F"	66.0	5	0.0	1.0
"96"	70.0	58.0	"F"	65.0	5	0.0	1.0
"96"	70.0	58.0	"F"	63.0	5	0.0	1.0
"97"	69.0	68.5	"M"	75.0	10	1.0	0.0
"97"	69.0	68.5	"M"	71.0	10	1.0	0.0
"97"	69.0	68.5	"M"	70.0	10	1.0	0.0
"97"	69.0	68.5	"F"	66.0	10	0.0	1.0
"97"	69.0	68.5	"F"	66.0	10	0.0	1.0
"97"	69.0	68.5	"F"	65.5	10	0.0	1.0
"97"	69.0	68.5	"F"	65.0	10	0.0	1.0
"97"	69.0	68.5	"F"	65.0	10	0.0	1.0
"97"	69.0	68.5	"F"	64.0	10	0.0	1.0
"97"	69.0	68.5	"F"	64.0	10	0.0	1.0
"98"	69.0	67.0	"F"	64.0	1	0.0	1.0
"99"	69.0	66.0	"M"	73.0	8	1.0	0.0
"99"	69.0	66.0	"M"	72.0	8	1.0	0.0
"99"	69.0	66.0	"M"	71.7	8	1.0	0.0
"99"	69.0	66.0	"M"	71.5	8	1.0	0.0
"99"	69.0	66.0	"F"	65.5	8	0.0	1.0
"99"	69.0	66.0	"F"	65.0	8	0.0	1.0
"99"	69.0	66.0	"F"	62.7	8	0.0	1.0
"99"	69.0	66.0	"F"	62.5	8	0.0	1.0
"100"	69.0	66.0	"M"	71.2	3	1.0	0.0
"100"	69.0	66.0	"M"	71.0	3	1.0	0.0
"100"	69.0	66.0	"M"	70.0	3	1.0	0.0
"101"	69.0	66.7	"M"	75.0	6	1.0	0.0
"101"	69.0	66.7	"M"	74.0	6	1.0	0.0
"101"	69.0	66.7	"M"	72.0	6	1.0	0.0
"101"	69.0	66.7	"M"	68.5	6	1.0	0.0
"101"	69.0	66.7	"M"	67.0	6	1.0	0.0
"101"	69.0	66.7	"M"	66.0	6	1.0	0.0
"102"	69.0	66.0	"M"	70.0	6	1.0	0.0
"102"	69.0	66.0	"M"	68.5	6	1.0	0.0
"102"	69.0	66.0	"M"	68.0	6	1.0	0.0
"102"	69.0	66.0	"F"	65.0	6	0.0	1.0
"102"	69.0	66.0	"F"	63.0	6	0.0	1.0
"102"	69.0	66.0	"F"	62.5	6	0.0	1.0
"103"	69.0	66.5	"M"	73.0	5	1.0	0.0
"103"	69.0	66.5	"M"	71.0	5	1.0	0.0
"103"	69.0	66.5	"M"	70.5	5	1.0	0.0
"103"	69.0	66.5	"M"	70.5	5	1.0	0.0
"103"	69.0	66.5	"F"	61.0	5	0.0	1.0
"104"	69.5	66.5	"M"	70.5	4	1.0	0.0
"104"	69.5	66.5	"M"	67.5	4	1.0	0.0
"104"	69.5	66.5	"F"	64.5	4	0.0	1.0
"104"	69.5	66.5	"F"	64.0	4	0.0	1.0
"105"	69.0	66.5	"M"	71.0	6	1.0	0.0
"105"	69.0	66.5	"F"	68.5	6	0.0	1.0
"105"	69.0	66.5	"F"	67.5	6	0.0	1.0
"105"	69.0	66.5	"F"	66.0	6	0.0	1.0
"105"	69.0	66.5	"F"	63.0	6	0.0	1.0
"105"	69.0	66.5	"F"	63.0	6	0.0	1.0
"106"	69.5	66.0	"M"	71.0	7	1.0	0.0
"106"	69.5	66.0	"M"	71.0	7	1.0	0.0
"106"	69.5	66.0	"M"	70.5	7	1.0	0.0
"106"	69.5	66.0	"M"	70.5	7	1.0	0.0
"106"	69.5	66.0	"F"	66.5	7	0.0	1.0
"106"	69.5	66.0	"F"	65.5	7	0.0	1.0
"106"	69.5	66.0	"F"	64.5	7	0.0	1.0
"107"	69.0	66.0	"M"	73.0	9	1.0	0.0
"107"	69.0	66.0	"M"	72.0	9	1.0	0.0
"107"	69.0	66.0	"M"	69.0	9	1.0	0.0
"107"	69.0	66.0	"M"	69.0	9	1.0	0.0
"107"	69.0	66.0	"F"	66.5	9	0.0	1.0
