time_tick,x_durable_0,x_transient_0,y,ext_regressors
65,0,0,8.0,"x_durable: 0, x_transient: 0"
66,0,0,14.0,"x_durable: 0, x_transient: 0"
67,0,0,20.0,"x_durable: 0, x_transient: 0"
68,0,0,30.0,"x_durable: 0, x_transient: 0"
69,0,0,39.0,"x_durable: 0, x_transient: 0"
70,0,0,42.0,"x_durable: 0, x_transient: 0"
71,-1,0,46.0,"x_durable: -1, x_transient: 0"
72,0,0,48.0,"x_durable: 0, x_transient: 0"
73,0,0,52.0,"x_durable: 0, x_transient: 0"
74,0,0,48.0,"x_durable: 0, x_transient: 0"
75,-1,0,43.0,"x_durable: -1, x_transient: 0"
76,0,0,39.0,"x_durable: 0, x_transient: 0"
77,0,0,23.0,"x_durable: 0, x_transient: 0"
78,0,0,22.0,"x_durable: 0, x_transient: 0"
79,0,0,20.0,"x_durable: 0, x_transient: 0"
80,0,0,3.0,"x_durable: 0, x_transient: 0"
81,0,0,7.0,"x_durable: 0, x_transient: 0"
82,0,0,12.0,"x_durable: 0, x_transient: 0"
83,0,0,10.0,"x_durable: 0, x_transient: 0"
84,0,0,2.0,"x_durable: 0, x_transient: 0"
85,0,0,5.0,"x_durable: 0, x_transient: 0"
86,0,0,2.0,"x_durable: 0, x_transient: 0"
87,0,0,4.0,"x_durable: 0, x_transient: 0"
88,0,1,29.0,"x_durable: 0, x_transient: 1"
89,0,0,14.0,"x_durable: 0, x_transient: 0"
90,0,-2,0.0,"x_durable: 0, x_transient: -2"
91,0,0,25.0,"x_durable: 0, x_transient: 0"
92,0,0,36.0,"x_durable: 0, x_transient: 0"
93,0,0,38.0,"x_durable: 0, x_transient: 0"
94,0,0,43.0,"x_durable: 0, x_transient: 0"
95,0,0,52.0,"x_durable: 0, x_transient: 0"
96,0,0,60.0,"x_durable: 0, x_transient: 0"
97,0,0,66.0,"x_durable: 0, x_transient: 0"
98,0,0,78.0,"x_durable: 0, x_transient: 0"
99,0,0,71.0,"x_durable: 0, x_transient: 0"
100,0,0,82.0,"x_durable: 0, x_transient: 0"
101,0,0,81.0,"x_durable: 0, x_transient: 0"
102,0,0,78.0,"x_durable: 0, x_transient: 0"
103,0,0,79.0,"x_durable: 0, x_transient: 0"
104,0,1,100.0,"x_durable: 0, x_transient: 1"
105,0,-1,60.0,"x_durable: 0, x_transient: -1"
106,-1,0,74.0,"x_durable: -1, x_transient: 0"
107,0,-2,22.0,"x_durable: 0, x_transient: -2"
108,0,0,40.0,"x_durable: 0, x_transient: 0"
109,0,0,40.0,"x_durable: 0, x_transient: 0"
110,0,0,28.0,"x_durable: 0, x_transient: 0"
111,0,0,22.0,"x_durable: 0, x_transient: 0"
112,0,0,1.0,"x_durable: 0, x_transient: 0"
113,0,0,0.0,"x_durable: 0, x_transient: 0"
114,0,0,0.0,"x_durable: 0, x_transient: 0"
115,0,0,0.0,"x_durable: 0, x_transient: 0"
116,0,0,0.0,"x_durable: 0, x_transient: 0"
117,0,0,0.0,"x_durable: 0, x_transient: 0"
118,0,0,0.0,"x_durable: 0, x_transient: 0"
119,0,0,6.0,"x_durable: 0, x_transient: 0"
120,0,0,7.0,"x_durable: 0, x_transient: 0"
121,0,-2,0.0,"x_durable: 0, x_transient: -2"
122,0,0,23.0,"x_durable: 0, x_transient: 0"
123,0,0,28.0,"x_durable: 0, x_transient: 0"
124,0,-1,18.0,"x_durable: 0, x_transient: -1"
125,0,0,46.0,"x_durable: 0, x_transient: 0"
126,0,0,54.0,"x_durable: 0, x_transient: 0"
127,0,0,68.0,"x_durable: 0, x_transient: 0"
128,0,0,73.0,"x_durable: 0, x_transient: 0"
129,0,0,72.0,"x_durable: 0, x_transient: 0"
130,0,0,84.0,"x_durable: 0, x_transient: 0"
131,0,0,84.0,"x_durable: 0, x_transient: 0"
132,0,0,95.0,"x_durable: 0, x_transient: 0"
133,0,0,91.0,"x_durable: 0, x_transient: 0"
134,0,0,94.0,"x_durable: 0, x_transient: 0"
135,0,-2,55.0,"x_durable: 0, x_transient: -2"
136,0,-1,74.0,"x_durable: 0, x_transient: -1"
137,0,0,86.0,"x_durable: 0, x_transient: 0"
138,0,0,82.0,"x_durable: 0, x_transient: 0"
139,0,0,72.0,"x_durable: 0, x_transient: 0"
140,0,0,69.0,"x_durable: 0, x_transient: 0"
141,0,0,65.0,"x_durable: 0, x_transient: 0"
142,0,0,60.0,"x_durable: 0, x_transient: 0"
143,0,0,47.0,"x_durable: 0, x_transient: 0"
144,0,0,38.0,"x_durable: 0, x_transient: 0"
145,0,0,26.0,"x_durable: 0, x_transient: 0"
146,0,0,25.0,"x_durable: 0, x_transient: 0"
147,0,2,60.0,"x_durable: 0, x_transient: 2"
148,-1,0,-0.0,"x_durable: -1, x_transient: 0"
149,0,0,0.0,"x_durable: 0, x_transient: 0"
150,0,0,0.0,"x_durable: 0, x_transient: 0"
151,0,0,0.0,"x_durable: 0, x_transient: 0"
152,0,0,0.0,"x_durable: 0, x_transient: 0"
153,0,0,0.0,"x_durable: 0, x_transient: 0"
154,0,0,3.0,"x_durable: 0, x_transient: 0"
155,0,0,4.0,"x_durable: 0, x_transient: 0"
156,0,0,9.0,"x_durable: 0, x_transient: 0"
157,0,0,23.0,"x_durable: 0, x_transient: 0"
158,0,0,25.0,"x_durable: 0, x_transient: 0"
159,0,-2,0.0,"x_durable: 0, x_transient: -2"
160,0,0,41.0,"x_durable: 0, x_transient: 0"
161,0,0,45.0,"x_durable: 0, x_transient: 0"
162,0,0,64.0,"x_durable: 0, x_transient: 0"
163,0,0,62.0,"x_durable: 0, x_transient: 0"
164,0,0,69.0,"x_durable: 0, x_transient: 0"
165,0,0,82.0,"x_durable: 0, x_transient: 0"
166,0,0,80.0,"x_durable: 0, x_transient: 0"
167,0,0,91.0,"x_durable: 0, x_transient: 0"
168,0,0,86.0,"x_durable: 0, x_transient: 0"
169,0,0,97.0,"x_durable: 0, x_transient: 0"
170,0,-2,52.0,"x_durable: 0, x_transient: -2"
171,0,0,90.0,"x_durable: 0, x_transient: 0"
172,0,-1,62.0,"x_durable: 0, x_transient: -1"
173,0,0,85.0,"x_durable: 0, x_transient: 0"
174,0,0,83.0,"x_durable: 0, x_transient: 0"
175,0,0,62.0,"x_durable: 0, x_transient: 0"
176,0,2,102.0,"x_durable: 0, x_transient: 2"
177,0,0,60.0,"x_durable: 0, x_transient: 0"
178,0,0,48.0,"x_durable: 0, x_transient: 0"
179,0,0,40.0,"x_durable: 0, x_transient: 0"
180,0,-2,0.0,"x_durable: 0, x_transient: -2"
181,0,0,28.0,"x_durable: 0, x_transient: 0"
182,0,0,13.0,"x_durable: 0, x_transient: 0"
183,0,0,10.0,"x_durable: 0, x_transient: 0"
184,0,1,24.0,"x_durable: 0, x_transient: 1"
185,0,2,36.0,"x_durable: 0, x_transient: 2"
186,0,0,0.0,"x_durable: 0, x_transient: 0"
187,0,0,0.0,"x_durable: 0, x_transient: 0"
188,0,0,0.0,"x_durable: 0, x_transient: 0"
189,0,1,11.0,"x_durable: 0, x_transient: 1"
190,0,0,0.0,"x_durable: 0, x_transient: 0"
191,0,0,0.0,"x_durable: 0, x_transient: 0"
192,0,0,0.0,"x_durable: 0, x_transient: 0"
193,1,0,18.0,"x_durable: 1, x_transient: 0"
194,0,0,26.0,"x_durable: 0, x_transient: 0"
195,1,0,50.0,"x_durable: 1, x_transient: 0"
196,0,2,108.0,"x_durable: 0, x_transient: 2"
197,0,0,86.0,"x_durable: 0, x_transient: 0"
198,0,0,102.0,"x_durable: 0, x_transient: 0"
199,0,0,126.0,"x_durable: 0, x_transient: 0"
200,0,0,134.0,"x_durable: 0, x_transient: 0"
201,0,0,150.0,"x_durable: 0, x_transient: 0"
202,0,0,155.0,"x_durable: 0, x_transient: 0"
203,0,0,159.0,"x_durable: 0, x_transient: 0"
204,0,0,172.0,"x_durable: 0, x_transient: 0"
205,0,0,163.0,"x_durable: 0, x_transient: 0"
206,0,0,159.0,"x_durable: 0, x_transient: 0"
207,0,0,158.0,"x_durable: 0, x_transient: 0"
208,0,1,160.0,"x_durable: 0, x_transient: 1"
209,0,0,131.0,"x_durable: 0, x_transient: 0"
210,0,0,120.0,"x_durable: 0, x_transient: 0"
211,0,0,95.0,"x_durable: 0, x_transient: 0"
212,0,0,75.0,"x_durable: 0, x_transient: 0"
213,0,0,48.0,"x_durable: 0, x_transient: 0"
214,0,0,31.0,"x_durable: 0, x_transient: 0"
215,0,0,13.0,"x_durable: 0, x_transient: 0"
216,0,0,0.0,"x_durable: 0, x_transient: 0"
217,0,0,0.0,"x_durable: 0, x_transient: 0"
218,0,0,0.0,"x_durable: 0, x_transient: 0"
219,0,0,0.0,"x_durable: 0, x_transient: 0"
220,0,0,0.0,"x_durable: 0, x_transient: 0"
221,0,2,32.0,"x_durable: 0, x_transient: 2"
222,0,0,2.0,"x_durable: 0, x_transient: 0"
223,0,0,14.0,"x_durable: 0, x_transient: 0"
224,0,0,25.0,"x_durable: 0, x_transient: 0"
225,0,0,30.0,"x_durable: 0, x_transient: 0"
226,0,0,35.0,"x_durable: 0, x_transient: 0"
227,0,0,49.0,"x_durable: 0, x_transient: 0"
228,0,0,52.0,"x_durable: 0, x_transient: 0"
229,0,0,54.0,"x_durable: 0, x_transient: 0"
230,0,0,68.0,"x_durable: 0, x_transient: 0"
231,0,0,73.0,"x_durable: 0, x_transient: 0"
232,0,0,82.0,"x_durable: 0, x_transient: 0"
233,0,0,88.0,"x_durable: 0, x_transient: 0"
234,0,0,93.0,"x_durable: 0, x_transient: 0"
235,0,0,95.0,"x_durable: 0, x_transient: 0"
236,0,2,127.0,"x_durable: 0, x_transient: 2"
237,0,0,90.0,"x_durable: 0, x_transient: 0"
238,0,0,100.0,"x_durable: 0, x_transient: 0"
239,0,-1,66.0,"x_durable: 0, x_transient: -1"
240,0,0,87.0,"x_durable: 0, x_transient: 0"
241,0,0,81.0,"x_durable: 0, x_transient: 0"
242,0,0,74.0,"x_durable: 0, x_transient: 0"
243,0,0,70.0,"x_durable: 0, x_transient: 0"
244,0,0,63.0,"x_durable: 0, x_transient: 0"
245,0,0,53.0,"x_durable: 0, x_transient: 0"
246,0,0,44.0,"x_durable: 0, x_transient: 0"
247,0,0,38.0,"x_durable: 0, x_transient: 0"
248,0,0,30.0,"x_durable: 0, x_transient: 0"
249,0,0,23.0,"x_durable: 0, x_transient: 0"
250,0,0,10.0,"x_durable: 0, x_transient: 0"
251,0,0,7.0,"x_durable: 0, x_transient: 0"
252,0,0,0.0,"x_durable: 0, x_transient: 0"
253,0,0,0.0,"x_durable: 0, x_transient: 0"
254,0,0,0.0,"x_durable: 0, x_transient: 0"
255,0,0,0.0,"x_durable: 0, x_transient: 0"
256,0,0,0.0,"x_durable: 0, x_transient: 0"
257,0,0,0.0,"x_durable: 0, x_transient: 0"
258,0,0,0.0,"x_durable: 0, x_transient: 0"
259,0,0,0.0,"x_durable: 0, x_transient: 0"
260,0,0,5.0,"x_durable: 0, x_transient: 0"
261,0,0,12.0,"x_durable: 0, x_transient: 0"
262,1,0,23.0,"x_durable: 1, x_transient: 0"
263,0,0,38.0,"x_durable: 0, x_transient: 0"
264,0,0,51.0,"x_durable: 0, x_transient: 0"
265,0,0,59.0,"x_durable: 0, x_transient: 0"
266,0,0,78.0,"x_durable: 0, x_transient: 0"
267,0,0,94.0,"x_durable: 0, x_transient: 0"
268,0,0,96.0,"x_durable: 0, x_transient: 0"
269,0,0,113.0,"x_durable: 0, x_transient: 0"
270,0,0,114.0,"x_durable: 0, x_transient: 0"
271,0,0,121.0,"x_durable: 0, x_transient: 0"
272,0,0,125.0,"x_durable: 0, x_transient: 0"
273,-1,0,118.0,"x_durable: -1, x_transient: 0"
274,0,0,112.0,"x_durable: 0, x_transient: 0"
275,0,2,140.0,"x_durable: 0, x_transient: 2"
276,0,0,91.0,"x_durable: 0, x_transient: 0"
277,0,0,75.0,"x_durable: 0, x_transient: 0"
278,0,-2,14.0,"x_durable: 0, x_transient: -2"
279,0,2,82.0,"x_durable: 0, x_transient: 2"
280,0,1,50.0,"x_durable: 0, x_transient: 1"
281,0,0,16.0,"x_durable: 0, x_transient: 0"
282,0,0,0.0,"x_durable: 0, x_transient: 0"
283,0,0,0.0,"x_durable: 0, x_transient: 0"
284,0,0,0.0,"x_durable: 0, x_transient: 0"
285,0,0,0.0,"x_durable: 0, x_transient: 0"
286,0,0,0.0,"x_durable: 0, x_transient: 0"
287,0,0,0.0,"x_durable: 0, x_transient: 0"
288,0,0,0.0,"x_durable: 0, x_transient: 0"
289,0,0,9.0,"x_durable: 0, x_transient: 0"
290,0,2,46.0,"x_durable: 0, x_transient: 2"
291,0,0,17.0,"x_durable: 0, x_transient: 0"
292,0,0,28.0,"x_durable: 0, x_transient: 0"
293,0,0,32.0,"x_durable: 0, x_transient: 0"
294,0,0,43.0,"x_durable: 0, x_transient: 0"
295,0,0,48.0,"x_durable: 0, x_transient: 0"
296,-1,0,57.0,"x_durable: -1, x_transient: 0"
297,0,0,52.0,"x_durable: 0, x_transient: 0"
298,0,0,53.0,"x_durable: 0, x_transient: 0"
299,0,0,52.0,"x_durable: 0, x_transient: 0"
300,0,0,58.0,"x_durable: 0, x_transient: 0"
301,0,0,51.0,"x_durable: 0, x_transient: 0"
302,0,0,59.0,"x_durable: 0, x_transient: 0"
303,0,-2,12.0,"x_durable: 0, x_transient: -2"
304,0,0,44.0,"x_durable: 0, x_transient: 0"
305,1,0,58.0,"x_durable: 1, x_transient: 0"
306,0,0,54.0,"x_durable: 0, x_transient: 0"
307,0,0,70.0,"x_durable: 0, x_transient: 0"
308,0,0,76.0,"x_durable: 0, x_transient: 0"
309,0,0,71.0,"x_durable: 0, x_transient: 0"
310,0,0,72.0,"x_durable: 0, x_transient: 0"
311,0,0,76.0,"x_durable: 0, x_transient: 0"
312,0,0,76.0,"x_durable: 0, x_transient: 0"
313,0,0,78.0,"x_durable: 0, x_transient: 0"
314,0,0,68.0,"x_durable: 0, x_transient: 0"
315,0,0,67.0,"x_durable: 0, x_transient: 0"
316,0,0,58.0,"x_durable: 0, x_transient: 0"
317,0,0,58.0,"x_durable: 0, x_transient: 0"
318,0,0,55.0,"x_durable: 0, x_transient: 0"
319,0,0,50.0,"x_durable: 0, x_transient: 0"
320,0,0,47.0,"x_durable: 0, x_transient: 0"
321,0,0,41.0,"x_durable: 0, x_transient: 0"
322,0,0,31.0,"x_durable: 0, x_transient: 0"
323,-1,0,16.0,"x_durable: -1, x_transient: 0"
324,0,0,6.0,"x_durable: 0, x_transient: 0"
325,0,0,0.0,"x_durable: 0, x_transient: 0"
326,0,0,0.0,"x_durable: 0, x_transient: 0"
327,0,0,0.0,"x_durable: 0, x_transient: 0"
328,0,0,0.0,"x_durable: 0, x_transient: 0"
329,0,0,0.0,"x_durable: 0, x_transient: 0"
330,0,0,0.0,"x_durable: 0, x_transient: 0"
331,0,0,-0.0,"x_durable: 0, x_transient: 0"
332,0,0,11.0,"x_durable: 0, x_transient: 0"
333,-1,1,27.0,"x_durable: -1, x_transient: 1"
334,0,0,15.0,"x_durable: 0, x_transient: 0"
335,0,0,14.0,"x_durable: 0, x_transient: 0"
336,0,0,18.0,"x_durable: 0, x_transient: 0"
337,0,0,21.0,"x_durable: 0, x_transient: 0"
338,0,0,20.0,"x_durable: 0, x_transient: 0"
339,0,0,26.0,"x_durable: 0, x_transient: 0"
340,0,0,33.0,"x_durable: 0, x_transient: 0"
341,0,0,33.0,"x_durable: 0, x_transient: 0"
342,0,0,40.0,"x_durable: 0, x_transient: 0"
343,0,0,53.0,"x_durable: 0, x_transient: 0"
344,0,0,57.0,"x_durable: 0, x_transient: 0"
345,0,0,53.0,"x_durable: 0, x_transient: 0"
346,0,0,67.0,"x_durable: 0, x_transient: 0"
347,0,0,59.0,"x_durable: 0, x_transient: 0"
348,0,0,75.0,"x_durable: 0, x_transient: 0"
349,0,0,77.0,"x_durable: 0, x_transient: 0"
350,0,0,80.0,"x_durable: 0, x_transient: 0"
351,0,-1,60.0,"x_durable: 0, x_transient: -1"
352,0,0,77.0,"x_durable: 0, x_transient: 0"
353,0,0,71.0,"x_durable: 0, x_transient: 0"
354,0,0,74.0,"x_durable: 0, x_transient: 0"
355,0,0,68.0,"x_durable: 0, x_transient: 0"
356,0,0,65.0,"x_durable: 0, x_transient: 0"
357,0,1,77.0,"x_durable: 0, x_transient: 1"
358,0,0,62.0,"x_durable: 0, x_transient: 0"
359,0,0,51.0,"x_durable: 0, x_transient: 0"
360,0,0,40.0,"x_durable: 0, x_transient: 0"
361,0,0,38.0,"x_durable: 0, x_transient: 0"
362,0,0,33.0,"x_durable: 0, x_transient: 0"
363,0,0,30.0,"x_durable: 0, x_transient: 0"
364,0,0,26.0,"x_durable: 0, x_transient: 0"
365,0,0,17.0,"x_durable: 0, x_transient: 0"
366,0,0,21.0,"x_durable: 0, x_transient: 0"
367,0,0,13.0,"x_durable: 0, x_transient: 0"
368,0,0,7.0,"x_durable: 0, x_transient: 0"
369,0,0,5.0,"x_durable: 0, x_transient: 0"
370,0,0,7.0,"x_durable: 0, x_transient: 0"
371,0,0,8.0,"x_durable: 0, x_transient: 0"
372,0,0,6.0,"x_durable: 0, x_transient: 0"
373,0,0,9.0,"x_durable: 0, x_transient: 0"
374,0,0,7.0,"x_durable: 0, x_transient: 0"
375,0,0,17.0,"x_durable: 0, x_transient: 0"
376,0,0,15.0,"x_durable: 0, x_transient: 0"
377,0,0,27.0,"x_durable: 0, x_transient: 0"
378,0,0,28.0,"x_durable: 0, x_transient: 0"
379,0,1,53.0,"x_durable: 0, x_transient: 1"
380,0,0,48.0,"x_durable: 0, x_transient: 0"
381,0,0,40.0,"x_durable: 0, x_transient: 0"
382,0,0,52.0,"x_durable: 0, x_transient: 0"
383,0,0,59.0,"x_durable: 0, x_transient: 0"
384,0,0,65.0,"x_durable: 0, x_transient: 0"
385,0,0,71.0,"x_durable: 0, x_transient: 0"
386,0,0,72.0,"x_durable: 0, x_transient: 0"
387,0,0,77.0,"x_durable: 0, x_transient: 0"
388,0,0,73.0,"x_durable: 0, x_transient: 0"
389,0,0,72.0,"x_durable: 0, x_transient: 0"
390,0,0,71.0,"x_durable: 0, x_transient: 0"
391,0,-1,56.0,"x_durable: 0, x_transient: -1"
392,0,0,73.0,"x_durable: 0, x_transient: 0"
393,0,0,76.0,"x_durable: 0, x_transient: 0"
394,0,0,65.0,"x_durable: 0, x_transient: 0"
395,0,0,59.0,"x_durable: 0, x_transient: 0"
396,0,0,64.0,"x_durable: 0, x_transient: 0"
397,-1,0,45.0,"x_durable: -1, x_transient: 0"
398,0,0,35.0,"x_durable: 0, x_transient: 0"
399,0,0,21.0,"x_durable: 0, x_transient: 0"
400,0,0,9.0,"x_durable: 0, x_transient: 0"
401,0,0,7.0,"x_durable: 0, x_transient: 0"
402,0,0,0.0,"x_durable: 0, x_transient: 0"
403,0,0,0.0,"x_durable: 0, x_transient: 0"
404,0,0,0.0,"x_durable: 0, x_transient: 0"
405,0,0,0.0,"x_durable: 0, x_transient: 0"
406,0,0,0.0,"x_durable: 0, x_transient: 0"
407,0,0,0.0,"x_durable: 0, x_transient: 0"
408,0,0,0.0,"x_durable: 0, x_transient: 0"
409,0,0,8.0,"x_durable: 0, x_transient: 0"
410,0,0,21.0,"x_durable: 0, x_transient: 0"
411,-1,0,14.0,"x_durable: -1, x_transient: 0"
412,0,0,19.0,"x_durable: 0, x_transient: 0"
413,0,0,18.0,"x_durable: 0, x_transient: 0"
414,0,0,22.0,"x_durable: 0, x_transient: 0"
415,0,0,24.0,"x_durable: 0, x_transient: 0"
416,0,0,23.0,"x_durable: 0, x_transient: 0"
417,0,-1,13.0,"x_durable: 0, x_transient: -1"
418,0,0,36.0,"x_durable: 0, x_transient: 0"
419,0,0,34.0,"x_durable: 0, x_transient: 0"
420,0,0,39.0,"x_durable: 0, x_transient: 0"
421,0,0,48.0,"x_durable: 0, x_transient: 0"
422,0,0,51.0,"x_durable: 0, x_transient: 0"
423,0,0,49.0,"x_durable: 0, x_transient: 0"
424,0,0,53.0,"x_durable: 0, x_transient: 0"
425,0,0,62.0,"x_durable: 0, x_transient: 0"
426,0,0,51.0,"x_durable: 0, x_transient: 0"
427,0,0,54.0,"x_durable: 0, x_transient: 0"
428,0,0,63.0,"x_durable: 0, x_transient: 0"
429,0,0,54.0,"x_durable: 0, x_transient: 0"
430,0,0,65.0,"x_durable: 0, x_transient: 0"
431,0,0,63.0,"x_durable: 0, x_transient: 0"
432,0,0,64.0,"x_durable: 0, x_transient: 0"
433,0,0,57.0,"x_durable: 0, x_transient: 0"
434,0,0,65.0,"x_durable: 0, x_transient: 0"
435,0,0,55.0,"x_durable: 0, x_transient: 0"
436,0,0,47.0,"x_durable: 0, x_transient: 0"
437,0,0,53.0,"x_durable: 0, x_transient: 0"
438,0,0,50.0,"x_durable: 0, x_transient: 0"
439,0,0,39.0,"x_durable: 0, x_transient: 0"
440,0,0,43.0,"x_durable: 0, x_transient: 0"
441,0,-2,3.0,"x_durable: 0, x_transient: -2"
442,0,0,32.0,"x_durable: 0, x_transient: 0"
443,0,0,32.0,"x_durable: 0, x_transient: 0"
444,0,0,25.0,"x_durable: 0, x_transient: 0"
445,0,0,29.0,"x_durable: 0, x_transient: 0"
446,0,0,27.0,"x_durable: 0, x_transient: 0"
447,0,0,27.0,"x_durable: 0, x_transient: 0"
448,0,0,27.0,"x_durable: 0, x_transient: 0"
449,0,0,26.0,"x_durable: 0, x_transient: 0"
450,0,0,24.0,"x_durable: 0, x_transient: 0"
451,0,0,23.0,"x_durable: 0, x_transient: 0"
452,0,0,31.0,"x_durable: 0, x_transient: 0"
453,0,0,30.0,"x_durable: 0, x_transient: 0"
454,0,0,23.0,"x_durable: 0, x_transient: 0"
455,0,0,34.0,"x_durable: 0, x_transient: 0"
456,0,0,35.0,"x_durable: 0, x_transient: 0"
457,-1,0,27.0,"x_durable: -1, x_transient: 0"
458,0,0,29.0,"x_durable: 0, x_transient: 0"
459,0,0,29.0,"x_durable: 0, x_transient: 0"
460,0,0,16.0,"x_durable: 0, x_transient: 0"
461,0,0,13.0,"x_durable: 0, x_transient: 0"
462,0,0,22.0,"x_durable: 0, x_transient: 0"
463,0,0,16.0,"x_durable: 0, x_transient: 0"
464,0,-2,0.0,"x_durable: 0, x_transient: -2"
465,0,0,12.0,"x_durable: 0, x_transient: 0"
466,0,-1,2.0,"x_durable: 0, x_transient: -1"
467,0,0,24.0,"x_durable: 0, x_transient: 0"
468,0,0,21.0,"x_durable: 0, x_transient: 0"
469,0,0,31.0,"x_durable: 0, x_transient: 0"
470,0,0,27.0,"x_durable: 0, x_transient: 0"
471,0,0,31.0,"x_durable: 0, x_transient: 0"
472,0,1,55.0,"x_durable: 0, x_transient: 1"
473,0,0,41.0,"x_durable: 0, x_transient: 0"
474,0,0,49.0,"x_durable: 0, x_transient: 0"
475,0,0,52.0,"x_durable: 0, x_transient: 0"
476,0,0,53.0,"x_durable: 0, x_transient: 0"
477,0,0,58.0,"x_durable: 0, x_transient: 0"
478,0,0,69.0,"x_durable: 0, x_transient: 0"
479,0,0,65.0,"x_durable: 0, x_transient: 0"
480,0,0,67.0,"x_durable: 0, x_transient: 0"
481,0,0,67.0,"x_durable: 0, x_transient: 0"
482,0,0,66.0,"x_durable: 0, x_transient: 0"
483,0,0,75.0,"x_durable: 0, x_transient: 0"
484,0,0,76.0,"x_durable: 0, x_transient: 0"
485,0,0,70.0,"x_durable: 0, x_transient: 0"
486,0,1,90.0,"x_durable: 0, x_transient: 1"
487,0,0,66.0,"x_durable: 0, x_transient: 0"
488,0,0,59.0,"x_durable: 0, x_transient: 0"
489,0,0,57.0,"x_durable: 0, x_transient: 0"
490,0,0,55.0,"x_durable: 0, x_transient: 0"
491,0,0,55.0,"x_durable: 0, x_transient: 0"
492,0,0,44.0,"x_durable: 0, x_transient: 0"
493,0,0,41.0,"x_durable: 0, x_transient: 0"
494,0,0,41.0,"x_durable: 0, x_transient: 0"
495,0,0,31.0,"x_durable: 0, x_transient: 0"
