"Date","Movie","Time","Attendance","PopcornSales"
"2024-August-10","Lyd","4:40 pm",191,34
"2024-August-10","Seven Samurai","5:10 pm",44,7
"2024-August-10","Crossing","6:30 pm",19,3
"2024-August-10","Longlegs","8:50 pm",2,0
"2024-August-10","Cuckoo (35mm)","9:30 pm",17,2
"2024-August-11","Dancing With the Dead: Red Pine and the Art of Translation","12:00 pm",95,18
"2024-August-11","Dancing With the Dead: Red Pine and the Art of Translation","3:15 pm",5,1
"2024-August-11","Made in England: The Films of Powell and Pressburger","1:00 pm",33,5
"2024-August-11","Crossing","3:45 pm",98,12
"2024-August-11","The Vourdalak","6:05 pm",39,6
"2024-August-11","Seven Samurai","6:30 pm",11,2
"2024-August-11","Longlegs","8:05 pm",185,23
"2024-August-12","Fringegrass Film Festival: Tales from the Strings","5:00 pm",119,18
"2024-August-12","Seven Samurai","6:30 pm",7,1
"2024-August-12","The Vourdalak","8:30 pm",33,5
"2024-August-13","Off the Charts","6:30 pm",119,17
"2024-August-13","Longlegs","6:30 pm",32,5
"2024-August-13","Crossing","8:45 pm",19,2
"2024-August-13","Staff Pick: Melvin and Howard (35mm)","9:10 pm",13,2
"2024-August-14","CatVideoFest 2024","6:45 pm",69,12
"2024-August-14","Seven Samurai","7:00 pm",163,24
"2024-August-14","Chronicles of a Wandering Saint","8:30 pm",1,0
"2024-August-15","Lyd","6:30 pm",39,7
"2024-August-15","Robot Dreams","8:20 pm",3,0
"2024-August-16","Moving","6:30 pm",26,4
"2024-August-16","Only The River Flows","6:40 pm",168,29
"2024-August-17","Seven Samurai","1:00 pm",60,10
"2024-August-17","Eno","5:15 pm",136,25
"2024-August-17","Moving","6:00 pm",24,5
"2024-August-17","Only The River Flows","7:15 pm",45,6
"2024-August-17","Off Ramp","9:30 pm",222,39
"2024-August-18","CatVideoFest 2024","12:30 pm",46,6
"2024-August-18","Slanted Lens: Death Drop Gorgeous","12:30 pm",9,1
"2024-August-18","Eno","2:15 pm",19,3
"2024-August-18","Only The River Flows","3:00 pm",27,4
"2024-August-18","Moving","5:15 pm",3,0
"2024-August-23","Modernism Inc.","6:30 pm",163,24
"2024-August-24","2001: A Space Odyssey (35mm)","8:30 pm",22,2
"2024-August-25","Jila","11:00 am",30,5
"2024-August-25","Break the Game","3:15 pm",28,3
"2024-August-25","Animated Anarchy (16mm)","3:40 pm",89,13
"2024-August-25","Modernism Inc.","6:00 pm",230,29
"2024-August-28","Animated Anarchy (16mm)","6:30 pm",165,22
"2024-August-30","War Game","6:30 pm",137,17
"2024-August-31","The Dawn is Too Far","1:15 pm",5,1
"2024-August-31","National Theatre Live: Vanya","3:40 pm",132,23
"2024-August-31","War Game","6:30 pm",50,6
"2024-September-1","CatVideoFest 2024","12:30 pm",233,NA
"2024-September-1","Seven Samurai","2:15 pm",233,NA
"2024-September-1","Modernism Inc.: The Eliot Noyes Design Story","4:00 pm",233,NA
"2024-September-1","War Game","5:50 pm",47,NA
"2024-September-1","Eno","6:30 pm",233,NA
"2024-September-1","Cuckoo","7:55 pm",47,NA
"2024-September-1","Kneecap","8:30 pm",233,NA
"2024-September-2","War Game","4:25 pm",47,NA
"2024-September-2","Eno","6:30 pm",47,NA
"2024-September-3","War Game","6:30 pm",47,NA
"2024-September-3","CatVideoFest 2024","6:30 pm",47,NA
"2024-September-3","Eno","8:15 pm",233,NA
"2024-September-3","Longlegs","8:35 pm",47,NA
"2024-September-4","Sugarcane","6:20 pm",233,NA
"2024-September-4","Seeking Mavis Beacon","6:30 pm",47,NA
"2024-September-4","War Game","8:35 pm",47,NA
"2024-September-4","Eno","9:15 pm",47,NA
"2024-September-5","Eno","6:30 pm",233,NA
"2024-September-5","Three on a Match (1932)","6:30 pm",47,NA
"2024-September-5","War Game","8:05 pm",233,NA
"2024-September-5","Kneecap","8:30 pm",47,NA
"2024-September-6","Seeking Mavis Beacon","6:30 pm",233,NA
"2024-September-6","Paris Texas","6:30 pm",47,NA
"2024-September-6","The New Yorker Documentary Presents: Frank Denial Public Defender","8:45 pm",233,NA
"2024-September-6","Strange Darling","9:30 pm",47,NA
"2024-September-7","The New Yorker Documentary Presents: Frank Denial Public Defender","12:30 pm",233,NA
"2024-September-7","Journeys of Black Mathematicians","1:00 pm",47,NA
"2024-September-7","Seeking Mavis Beacon","2:15 pm",233,NA
"2024-September-7","Seeking Mavis Beacon","6:45 pm",47,NA
"2024-September-7","We Are Fugazi From Washington D.C.","3:10 pm",47,NA
"2024-September-7","War Game","4:35 pm",47,NA
"2024-September-7","July Rhapsody","5:30 pm",233,NA
"2024-September-7","Paris Texas","8:00 pm",233,NA
"2024-September-7","Strange Darling","9:00 pm",233,NA
"2024-September-8","Home Is a Hotel","1:00 pm",47,NA
"2024-September-8","The New Yorker Documentary Presents: Frank Denial Public Defender","1:15 pm",233,NA
"2024-September-8","Seeking Mavis Beacon","3:00 pm",47,NA
"2024-September-8","Seeking Mavis Beacon","5:15 pm",233,NA
"2024-September-8","Chungking Express","3:40 pm",233,NA
"2024-September-8","National Theatre Live: Vanya","6:00 pm",47,NA
"2024-September-8","Cuckoo","7:30 pm",233,NA
"2024-September-8","2001: A Space Odyssey (35mm)","8:40 pm",233,NA
"2024-September-9","Kneecap","6:30 pm",233,NA
"2024-September-9","Seeking Mavis Beacon","6:45 pm",233,NA
"2024-September-9","Chungking Express","8:45 pm",47,NA
"2024-September-9","The New Yorker Documentary Presents: Frank Denial Public Defender","9:00 pm",47,NA
"2024-September-10","The New Yorker Documentary Presents: Frank Denial Public Defender","4:30 pm",233,NA
"2024-September-10","Paris Texas","6:15 pm",47,NA
"2024-September-10","Destination Moon (16mm)","6:30 pm",47,NA
"2024-September-10","Seeking Mavis Beacon","8:40 pm",233,NA
"2024-September-10","Strange Darling","9:10 pm",233,NA
"2024-September-11","Seeking Mavis Beacon","6:30 pm",47,NA
"2024-September-11","The New Yorker Documentary Presents: Frank Denial Public Defender","8:45 pm",233,NA
"2024-September-12","The Time Masters","6:30 pm",233,NA
"2024-September-12","Seeking Mavis Beacon","6:30 pm",233,NA
"2024-September-12","Paris Texas","8:25 pm",233,NA
"2024-September-12","The New Yorker Documentary Presents: Frank Denial Public Defender","8:45 pm",47,NA
"2024-September-13","Close Your Eyes","6:00 pm",47,NA
"2024-September-13","From Russia with Lev","6:30 pm",47,NA
"2024-September-13","Look Into My Eyes","9:15 pm",233,NA
"2024-September-13","Chungking Express","9:15 pm",47,NA
"2024-September-14","Look Into My Eyes","3:40 pm",47,NA
"2024-September-14","One From the Heart: Reprise (4K Restoration)","3:45 pm",233,NA
"2024-September-14","Close Your Eyes","6:00 pm",233,NA
"2024-September-14","The Time Masters","6:40 pm",47,NA
"2024-September-14","One Flew Over the Cuckoo’s Nest","8:40 pm",47,NA
"2024-September-15","CatVideoFest 2024","12:40 pm",233,NA
"2024-September-15","IRL Movie Club: Join or Die","12:45 pm",233,NA
"2024-September-15","National Theatre Live: Vanya","2:30 pm",233,NA
"2024-September-15","Look Into My Eyes","3:30 pm",47,NA
"2024-September-15","Close Your Eyes","5:15 pm",47,NA
"2024-September-15","Paris Texas","8:30 pm",233,NA
"2024-September-16","Look Into My Eyes","6:20 pm",47,NA
"2024-September-16","The Time Masters","6:30 pm",233,NA
"2024-September-17","Close Your Eyes","6:00 pm",233,NA
"2024-September-17","We Are Fugazi From Washington D.C.","6:30 pm",233,NA
"2024-September-17","Look Into My Eyes","8:35 pm",47,NA
"2024-September-17","Rewind Presents: Twilight (2008)","9:15 pm",233,NA
"2024-September-18","Close Your Eyes","6:00 pm",47,NA
"2024-September-18","Chungking Express","6:15 pm",233,NA
"2024-September-18","Paris Texas","8:30 pm",47,NA
"2024-September-18","Look Into My Eyes","9:15 pm",233,NA
"2024-September-19","Look Into My Eyes","6:15 pm",233,NA
"2024-September-19","The Time Masters","6:30 pm",47,NA
"2024-September-19","Staff Pick: Institute Benjamenta (35mm)","8:30 pm",233,NA
"2024-September-20","Girls Will Be Girls","6:20 pm",47,NA
"2024-September-21","Hummingbirds","1:00 pm",47,NA
"2024-September-21","Bleeding Audio","3:45 pm",47,NA
"2024-September-21","Girls Will Be Girls","6:30 pm",47,NA
"2024-September-22","Girls Will Be Girls","4:15 pm",233,NA
"2024-September-23","Girls Will Be Girls","6:30 pm",233,NA
"2024-September-23","BiCONIC Beacon of Bi+ Love","6:30 pm",47,NA
"2024-September-24","LeatherWeek: Cruising","6:30 pm",233,NA
"2024-September-24","Girls Will Be Girls","6:40 pm",47,NA
"2024-September-25","Girls Will Be Girls","6:30 pm",47,NA
"2024-September-25","LeatherWeek: Folsom Forever","6:30 pm",233,NA
"2024-September-25","Art Dealers w/ Adam Weiner of Low Cut Connie","9:00 pm",47,NA
"2024-September-26","Girls Will Be Girls","6:30 pm",233,NA
"2024-September-26","To Be Destroyed / It’s Okay with Dave Eggers","6:30 pm",233,NA
"2024-September-26","LeatherWeek: Puppies and Leather and Boys!","8:40 pm",233,NA
"2024-September-27","Floating Features: Pirates of the Caribbean – The Curse of the Black Pearl","6:30 pm",233,NA
"2024-September-27","All Shall Be Well","6:30 pm",47,NA
"2024-September-28","BloodSisters","4:00 pm",233,NA
